Medio, Medio, Medio, Medio, Medio-Alto, Medio
Medio, Medio, Medio, Medio-Bajo, Medio-Alto, Medio
Medio-Bajo, Medio, Medio-Bajo, Medio, Medio, Medio
Medio-Alto, Medio, Bajo, Medio, Medio-Alto, Medio
Medio-Alto, Medio, Bajo, Medio-Bajo, Medio-Alto, Medio
Medio, Medio, Medio, Medio, Medio, Medio
Medio, Medio, Medio-Bajo, Alto, Medio, Medio
Medio-Alto, Medio, Medio, Alto, Medio-Alto, Medio
Alto, Medio-Bajo, Medio-Bajo, Medio-Alto, Medio-Alto, Medio
Medio, Medio-Bajo, Bajo, Alto, Medio, Medio
Medio-Bajo, Medio, Bajo, Medio, Medio, Medio
Medio-Alto, Medio-Bajo, Bajo, Medio-Alto, Medio-Alto, Medio-Bajo
Alto, Medio, Bajo, Medio-Alto, Medio-Alto, Medio
Medio-Alto, Medio, Medio-Bajo, Bajo, Alto, Medio
Medio, Medio, Bajo, Medio, Medio, Medio
Alto, Medio-Alto, Medio-Bajo, Medio-Bajo, Alto, Medio-Bajo
Medio-Bajo, Medio-Alto, Medio-Bajo, Medio-Bajo, Medio-Alto, Medio-Alto
Medio-Alto, Medio-Bajo, Bajo, Bajo, Alto, Medio-Bajo
Alto, Medio, Medio, Medio, Alto, Bajo
Alto, Medio-Bajo, Medio-Bajo, Medio-Bajo, Alto, Medio-Bajo
Medio, Alto, Medio, Medio, Medio, Medio
